,date,Month,E01Temp,E02Temp,E03Temp,E04Temp,E05Temp,E06Temp,E07Temp,E08Temp,E09Temp
99,09/04/2017,April,10.09730861,12.29934742,11.57153291,12.31502264,13.59226858,13.41296832,13.05148792,12.78308414,14.01780094
100,10/04/2017,April,7.873160026,8.289599275,7.818288567,9.210041099,8.16688059,7.623397501,8.856731531,7.761961911,7.828989698
101,11/04/2017,April,6.994789763,7.958880858,7.497326264,8.102305992,7.963325904,7.446712383,8.061791489,7.073755207,7.270447429
102,12/04/2017,April,8.741419764,11.0559545,10.32801914,10.91363534,10.75175476,10.18913631,10.27331515,9.262458993,8.556861412
103,13/04/2017,April,6.287059822,8.099305048,7.680628988,8.105168921,7.271990057,6.722951586,7.913395344,6.778805809,7.177007423
104,14/04/2017,April,8.128707174,8.40318637,8.288533125,9.988686597,9.187026933,8.642884402,9.944215261,8.765332404,8.436777027
105,15/04/2017,April,6.504719084,8.082649605,7.568904609,8.237569732,7.875320195,7.431792278,8.084262863,7.049742954,6.495522978
106,16/04/2017,April,5.515914163,5.853551506,5.233396816,6.367008649,6.467652663,6.247160671,7.585434735,6.532980716,6.874947033
107,17/04/2017,April,5.968432165,5.473668259,5.354525829,6.918424936,6.611542114,6.249947039,7.70059432,6.55933652,6.38911464
108,18/04/2017,April,3.360914646,4.353239017,3.450375085,4.943826966,5.175681674,4.711845398,5.665057024,4.816459496,4.74899915
109,19/04/2017,April,6.666864007,8.233867972,7.210220123,8.040197236,7.38214432,6.034065118,7.880920065,6.642256523,6.732406935
110,20/04/2017,April,9.493383085,12.6519926,12.23173372,11.62698431,10.81152238,9.92446858,11.27270606,10.12576844,9.830846153
111,21/04/2017,April,10.10078489,11.90292637,11.46001327,11.00154633,9.989167712,9.589731228,10.33245416,9.172196998,9.533181389
112,22/04/2017,April,6.227000118,6.991649486,6.472040091,8.188341333,7.884346007,7.713342619,8.969366157,8.054845289,8.231623161
113,23/04/2017,April,5.949427814,8.344176246,7.708488109,8.391636574,8.142414628,7.841886228,8.236296205,7.256164999,7.647583509
114,24/04/2017,April,6.847590327,7.626308312,7.217540689,8.239599493,8.091070437,7.994040126,9.437580432,8.214543555,8.234753707
115,25/04/2017,April,2.190396067,3.687650731,2.958779111,3.822162554,3.03428969,2.610164614,3.914955583,2.73204684,2.63954323
116,26/04/2017,April,3.193928661,4.919732936,4.330754965,5.007194795,4.74110864,4.15346972,5.564550055,4.448090768,4.174657475
117,27/04/2017,April,6.600057993,8.627480474,7.699553049,7.88740594,6.436308039,5.269634572,7.504816918,6.11562331,6.237152238
118,28/04/2017,April,5.676441041,5.844615205,6.311477651,6.564462642,6.148919467,6.012106938,7.381382425,6.1687873,6.608592432
119,29/04/2017,April,7.963532187,7.74121207,8.005529359,9.282967099,8.790460692,8.342179413,9.130052774,7.940345955,8.031635912
120,30/04/2017,April,9.304461015,9.2639964,8.444731855,9.816608205,9.409025892,8.740880176,10.51509429,9.028567352,9.446792575
121,01/05/2017,May,10.21988146,9.653537993,9.142425438,10.55889383,11.57057692,11.08642346,12.04024192,10.96925328,10.63552972
122,02/05/2017,May,9.422101887,10.10411089,9.572921645,10.01235259,8.519171638,8.61228517,10.41815643,9.16363558,9.595072681
123,03/05/2017,May,9.005358607,9.283864298,8.410905692,9.75088817,9.205080158,8.456035933,10.02514874,8.729828333,8.901883015
124,04/05/2017,May,9.441194642,9.620665017,9.323675633,10.05351018,9.983326415,9.689946671,11.41663468,10.09511232,10.21721997
